Province,var1,var2,var3,var4
AH,0,152,359,378
BJ,10,81,114,137
CQ,5,142,139,219
FJ,0,82,78,112
GS,0,24,29,33
GD,17,224,349,629
GX,0,58,72,92
GZ,0,9,67,55
HI,0,43,60,48
HE,0,48,116,87
HL,0,37,188,153
HA,0,206,371,558
HN,1,220,285,440
NM,0,16,16,26
JS,0,99,202,242
JX,2,107,296,439
JL,0,9,29,45
LN,0,36,35,45
NX,0,12,19,22
QH,0,6,1,11
SN,0,56,54,109
SD,1,120,199,177
SH,9,71,73,153
SX,0,27,43,54
SC,2,106,135,193
TJ,2,23,39,42
XZ,0,0,0,1
XJ,0,13,27,19
YN,1,43,32,78
ZJ,5,291,236,599
TW,1,3,12,12
MO,0,7,4,15
HK,0,14,8,11